Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 832 files,  43539 codes, 32537 comments, 4453 blanks, all 80529 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        828 |     43,389 |     32,534 |      4,453 |     80,376 |
| JSON with Comments |          3 |        115 |          3 |          0 |        118 |
| JSON               |          1 |         35 |          0 |          0 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| cf_\div3\1076                                                              |          7 |        357 |         27 |         11 |        395 |
| cf_\div3\1080                                                              |          7 |        386 |          6 |         13 |        405 |
| cf_\div3\za                                                                |          2 |         86 |      1,980 |        225 |      2,291 |
| cf_\edu                                                                    |          5 |        222 |         10 |         11 |        243 |
| cf_\edu\188                                                                |          5 |        222 |         10 |         11 |        243 |
| cf_\kunming                                                                |          1 |         80 |          8 |          2 |         90 |
| cf_\tiangong                                                               |          6 |        547 |         22 |         22 |        591 |
| cf_\xi'anyaoqing                                                           |          5 |        137 |         13 |          3 |        153 |
| cf_\za                                                                     |          2 |        135 |          4 |         12 |        151 |
| code                                                                       |         24 |      1,038 |     24,900 |      2,203 |     28,141 |
| coffee                                                                     |          1 |          0 |      1,275 |        117 |      1,392 |
| hangdian                                                                   |        109 |      6,633 |        371 |        230 |      7,234 |
| hangdian\chunji                                                            |         68 |      4,107 |        160 |        120 |      4,387 |
| hangdian\chunji\1                                                          |          7 |        278 |         24 |         18 |        320 |
| hangdian\chunji\10                                                         |          5 |        475 |         10 |         17 |        502 |
| hangdian\chunji\2                                                          |          7 |        398 |         12 |         15 |        425 |
| hangdian\chunji\3                                                          |          7 |        392 |         10 |         14 |        416 |
| hangdian\chunji\4                                                          |          6 |        469 |         22 |          3 |        494 |
| hangdian\chunji\5                                                          |          7 |        403 |         14 |          6 |        423 |
| hangdian\chunji\6                                                          |          6 |        250 |          5 |          3 |        258 |
| hangdian\chunji\7                                                          |          8 |        481 |         15 |         12 |        508 |
| hangdian\chunji\9                                                          |          3 |        178 |         10 |          2 |        190 |
| hangdian\chunji\reshensai                                                  |         12 |        783 |         38 |         30 |        851 |
| hangdian\xiaji                                                             |         41 |      2,526 |        211 |        110 |      2,847 |
| hangdian\xiaji\1                                                           |          7 |        378 |         10 |          6 |        394 |
| hangdian\xiaji\2                                                           |          8 |        519 |         22 |         13 |        554 |
| hangdian\xiaji\3                                                           |          7 |        385 |          8 |         11 |        404 |
| hangdian\xiaji\4                                                           |          5 |        283 |          2 |          2 |        287 |
| hangdian\xiaji\5                                                           |          7 |        485 |         59 |         33 |        577 |
| hangdian\xiaji\6                                                           |          7 |        476 |        110 |         45 |        631 |
| lanqiao                                                                    |         13 |        454 |         12 |         10 |        476 |
| lanqiao\14                                                                 |          5 |        193 |          9 |          6 |        208 |
| lanqiao\16Bc++                                                             |          8 |        261 |          3 |          4 |        268 |
| leetcode                                                                   |          1 |         14 |          1 |          1 |         16 |
| leetcode\shangke                                                           |          1 |         14 |          1 |          1 |         16 |
| luogu                                                                      |         37 |      2,072 |         48 |        232 |      2,352 |
| luogu\Manhattan                                                            |          1 |         29 |          0 |          0 |         29 |
| luogu\chafen                                                               |          1 |         30 |          0 |          4 |         34 |
| luogu\gouzao                                                               |          1 |         30 |          0 |          1 |         31 |
| luogu\lanqiaomoni                                                          |         17 |        726 |         25 |         22 |        773 |
| luogu\lanqiaomoni (Files)                                                  |          8 |        334 |         10 |         11 |        355 |
| luogu\lanqiaomoni\2023guosaimoni                                           |          3 |        132 |          6 |          2 |        140 |
| luogu\lanqiaomoni\2026guosaimonio                                          |          6 |        260 |          9 |          9 |        278 |
| luogu\liaoning                                                             |          8 |        319 |          1 |         24 |        344 |
| luogu\quyusai                                                              |          7 |        844 |         20 |        180 |      1,044 |
| luogu\quyusai\nanning2017                                                  |          7 |        844 |         20 |        180 |      1,044 |
| luogu\za                                                                   |          2 |         94 |          2 |          1 |         97 |
| math                                                                       |          1 |         57 |          3 |          2 |         62 |
| math\zuhe                                                                  |          1 |         57 |          3 |          2 |         62 |
| niuke                                                                      |        235 |     11,599 |        694 |        360 |     12,653 |
| niuke\2025hanjia                                                           |         47 |      2,286 |         91 |         54 |      2,431 |
| niuke\2025hanjia\1                                                         |         12 |        613 |         50 |         12 |        675 |
| niuke\2025hanjia\2                                                         |          9 |        406 |          8 |         11 |        425 |
| niuke\2025hanjia\3                                                         |          9 |        424 |          7 |         11 |        442 |
| niuke\2025hanjia\4                                                         |          8 |        402 |         14 |         17 |        433 |
| niuke\2025hanjia\5                                                         |          5 |        240 |          7 |          0 |        247 |
| niuke\2025hanjia\6                                                         |          4 |        201 |          5 |          3 |        209 |
| niuke\2026shujia                                                           |         34 |      2,452 |        108 |         64 |      2,624 |
| niuke\2026shujia\1                                                         |          6 |        787 |         35 |         22 |        844 |
| niuke\2026shujia\2                                                         |          5 |        217 |         20 |          7 |        244 |
| niuke\2026shujia\3                                                         |          3 |        219 |         19 |          5 |        243 |
| niuke\2026shujia\4                                                         |          5 |        198 |          7 |          8 |        213 |
| niuke\2026shujia\5                                                         |          7 |        622 |         17 |         13 |        652 |
| niuke\2026shujia\6                                                         |          4 |        234 |          4 |          1 |        239 |
| niuke\2026shujia\7                                                         |          4 |        175 |          6 |          8 |        189 |
| niuke\5_1party                                                             |          1 |         18 |          2 |          1 |         21 |
| niuke\5_1party\1                                                           |          1 |         18 |          2 |          1 |         21 |
| niuke\guangdonggongye                                                      |          8 |        363 |          1 |          6 |        370 |
| niuke\guangzhoudaxue                                                       |          7 |        225 |         54 |         12 |        291 |
| niuke\henan2026                                                            |          7 |        349 |         10 |          3 |        362 |
| niuke\henanmengxin2026                                                     |         30 |      1,484 |         50 |         37 |      1,571 |
| niuke\henanmengxin2026\1                                                   |          8 |        464 |         10 |          8 |        482 |
| niuke\henanmengxin2026\2                                                   |         13 |        663 |         28 |         17 |        708 |
| niuke\henanmengxin2026\3                                                   |          9 |        357 |         12 |         12 |        381 |
| niuke\huanhaian                                                            |          9 |        340 |         10 |         23 |        373 |
| niuke\huanong                                                              |          2 |        167 |         10 |         15 |        192 |
| niuke\lanqiaomoni                                                          |         10 |        501 |         27 |         25 |        553 |
| niuke\xiaobaiyuesai                                                        |         11 |        566 |         27 |         19 |        612 |
| niuke\xiaobaiyuesai\100                                                    |          5 |        265 |         15 |          1 |        281 |
| niuke\xiaobaiyuesai\128                                                    |          6 |        301 |         12 |         18 |        331 |
| niuke\zhousai                                                              |         69 |      2,848 |        304 |        101 |      3,253 |
| niuke\zhousai\118                                                          |          6 |        226 |        123 |         20 |        369 |
| niuke\zhousai\124                                                          |          4 |        147 |          7 |          5 |        159 |
| niuke\zhousai\127                                                          |          4 |        174 |          5 |          5 |        184 |
| niuke\zhousai\128                                                          |          5 |        205 |         17 |         14 |        236 |
| niuke\zhousai\129                                                          |          5 |        171 |         11 |         11 |        193 |
| niuke\zhousai\136                                                          |          2 |        126 |          1 |          3 |        130 |
| niuke\zhousai\137                                                          |          7 |        253 |         57 |         12 |        322 |
| niuke\zhousai\138                                                          |          5 |        166 |          2 |          4 |        172 |
| niuke\zhousai\139                                                          |          7 |        373 |         17 |          4 |        394 |
| niuke\zhousai\140                                                          |          6 |        256 |          8 |          3 |        267 |
| niuke\zhousai\141                                                          |          6 |        278 |         14 |          3 |        295 |
| niuke\zhousai\143                                                          |          6 |        248 |         31 |          6 |        285 |
| niuke\zhousai\153                                                          |          6 |        225 |         11 |         11 |        247 |
| qoj                                                                        |         31 |      2,013 |        146 |         61 |      2,220 |
