"filename", "language", "C++", "JSON with Comments", "JSON", "comment", "blank", "total"
"d:\Vscode\.vscode\abc\435\e.cpp", "C++", 53, 0, 0, 0, 0, 53
"d:\Vscode\.vscode\abc\435\test.cpp", "C++", 30, 0, 0, 3, 1, 34
"d:\Vscode\.vscode\abc\437\a.cpp", "C++", 14, 0, 0, 0, 2, 16
"d:\Vscode\.vscode\abc\437\b.cpp", "C++", 36, 0, 0, 0, 2, 38
"d:\Vscode\.vscode\abc\437\c.cpp", "C++", 38, 0, 0, 0, 3, 41
"d:\Vscode\.vscode\abc\437\d.cpp", "C++", 55, 0, 0, 2, 6, 63
"d:\Vscode\.vscode\abc\437\e.cpp", "C++", 42, 0, 0, 0, 1, 43
"d:\Vscode\.vscode\abc\437\f.cpp", "C++", 121, 0, 0, 2, 8, 131
"d:\Vscode\.vscode\abc\438\a.cpp", "C++", 12, 0, 0, 0, 0, 12
"d:\Vscode\.vscode\abc\438\b.cpp", "C++", 25, 0, 0, 0, 1, 26
"d:\Vscode\.vscode\abc\438\c.cpp", "C++", 25, 0, 0, 0, 0, 25
"d:\Vscode\.vscode\abc\438\d.cpp", "C++", 35, 0, 0, 0, 4, 39
"d:\Vscode\.vscode\abc\438\e.cpp", "C++", 41, 0, 0, 0, 2, 43
"d:\Vscode\.vscode\abc\438\f.cpp", "C++", 84, 0, 0, 6, 5, 95
"d:\Vscode\.vscode\abc\440\a.cpp", "C++", 16, 0, 0, 0, 0, 16
"d:\Vscode\.vscode\abc\440\b.cpp", "C++", 27, 0, 0, 0, 0, 27
"d:\Vscode\.vscode\abc\440\c.cpp", "C++", 44, 0, 0, 5, 5, 54
"d:\Vscode\.vscode\abc\440\d.cpp", "C++", 79, 0, 0, 4, 1, 84
"d:\Vscode\.vscode\abc\440\dpai\d.cpp", "C++", 79, 0, 0, 4, 1, 84
"d:\Vscode\.vscode\abc\440\dpai\dduipai.cpp", "C++", 45, 0, 0, 2, 12, 59
"d:\Vscode\.vscode\abc\440\dpai\duipai.cpp", "C++", 13, 0, 0, 0, 1, 14
"d:\Vscode\.vscode\abc\440\dpai\gen.cpp", "C++", 27, 0, 0, 5, 1, 33
"d:\Vscode\.vscode\abc\442\a.cpp", "C++", 24, 0, 0, 0, 1, 25
"d:\Vscode\.vscode\abc\442\b.cpp", "C++", 37, 0, 0, 0, 0, 37
"d:\Vscode\.vscode\abc\442\c.cpp", "C++", 32, 0, 0, 2, 1, 35
"d:\Vscode\.vscode\abc\442\d.cpp", "C++", 42, 0, 0, 0, 2, 44
"d:\Vscode\.vscode\abc\442\e.cpp", "C++", 76, 0, 0, 15, 5, 96
"d:\Vscode\.vscode\abc\442\e2.cpp", "C++", 61, 0, 0, 5, 2, 68
"d:\Vscode\.vscode\abc\442\f.cpp", "C++", 51, 0, 0, 9, 4, 64
"d:\Vscode\.vscode\abc\443\a.cpp", "C++", 19, 0, 0, 0, 0, 19
"d:\Vscode\.vscode\abc\443\b.cpp", "C++", 23, 0, 0, 0, 0, 23
"d:\Vscode\.vscode\abc\443\c.cpp", "C++", 30, 0, 0, 0, 0, 30
"d:\Vscode\.vscode\abc\443\d.cpp", "C++", 63, 0, 0, 4, 3, 70
"d:\Vscode\.vscode\abc\448\a.cpp", "C++", 25, 0, 0, 0, 2, 27
"d:\Vscode\.vscode\abc\448\b.cpp", "C++", 34, 0, 0, 5, 1, 40
"d:\Vscode\.vscode\abc\448\c.cpp", "C++", 37, 0, 0, 1, 1, 39
"d:\Vscode\.vscode\abc\448\d.cpp", "C++", 63, 0, 0, 0, 1, 64
"d:\Vscode\.vscode\abc\452\a.cpp", "C++", 20, 0, 0, 0, 1, 21
"d:\Vscode\.vscode\abc\452\b.cpp", "C++", 35, 0, 0, 0, 1, 36
"d:\Vscode\.vscode\abc\452\b\b_3.cpp", "C++", 64, 0, 0, 4, 4, 72
"d:\Vscode\.vscode\abc\452\b\d_2.cpp", "C++", 33, 0, 0, 6, 1, 40
"d:\Vscode\.vscode\abc\452\b\d_baoli.cpp", "C++", 51, 0, 0, 4, 2, 57
