Date : 2026-08-11 15:57:45
Directory : d:\Vscode\.vscode
Total : 274 files,  15406 codes, 850 comments, 700 blanks, all 16956 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        274 |     15,406 |        850 |        700 |     16,956 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Vscode\.vscode\niuke\2026shujia\2\g.cpp                             | C++      |        100 |         14 |          6 |        120 |
| d:\Vscode\.vscode\niuke\2026shujia\2\m.cpp                             | C++      |         21 |          5 |          0 |         26 |
| d:\Vscode\.vscode\niuke\2026shujia\2\n.cpp                             | C++      |         49 |          0 |          0 |         49 |
| d:\Vscode\.vscode\niuke\2026shujia\2\n_2.cpp                           | C++      |          0 |          0 |          1 |          1 |
| d:\Vscode\.vscode\niuke\2026shujia\3\a.cpp                             | C++      |         78 |         17 |          5 |        100 |
| d:\Vscode\.vscode\niuke\2026shujia\3\b.cpp                             | C++      |         57 |          0 |          0 |         57 |
| d:\Vscode\.vscode\niuke\2026shujia\3\g.cpp                             | C++      |         84 |          2 |          0 |         86 |
| d:\Vscode\.vscode\niuke\2026shujia\4\I.cpp                             | C++      |         48 |          5 |          6 |         59 |
| d:\Vscode\.vscode\niuke\2026shujia\4\a.cpp                             | C++      |         16 |          1 |          1 |         18 |
| d:\Vscode\.vscode\niuke\2026shujia\4\b.cpp                             | C++      |         75 |          1 |          0 |         76 |
| d:\Vscode\.vscode\niuke\2026shujia\4\b_0.cpp                           | C++      |         26 |          0 |          1 |         27 |
| d:\Vscode\.vscode\niuke\2026shujia\4\b_2.cpp                           | C++      |         33 |          0 |          0 |         33 |
| d:\Vscode\.vscode\niuke\2026shujia\5\e.cpp                             | C++      |        112 |          1 |          7 |        120 |
| d:\Vscode\.vscode\niuke\2026shujia\5\k.cpp                             | C++      |         87 |          2 |          2 |         91 |
| d:\Vscode\.vscode\niuke\2026shujia\5\k_2.cpp                           | C++      |         78 |          1 |          0 |         79 |
| d:\Vscode\.vscode\niuke\2026shujia\5\l.cpp                             | C++      |        184 |          8 |          3 |        195 |
| d:\Vscode\.vscode\niuke\2026shujia\5\l_2.cpp                           | C++      |        127 |          3 |          1 |        131 |
| d:\Vscode\.vscode\niuke\2026shujia\5\n.cpp                             | C++      |         17 |          1 |          0 |         18 |
| d:\Vscode\.vscode\niuke\2026shujia\5\test.cpp                          | C++      |         17 |          1 |          0 |         18 |
| d:\Vscode\.vscode\niuke\2026shujia\6\d.cpp                             | C++      |         79 |          4 |          1 |         84 |
| d:\Vscode\.vscode\niuke\2026shujia\6\g.cpp                             | C++      |         55 |          0 |          0 |         55 |
| d:\Vscode\.vscode\niuke\2026shujia\6\g_2.cpp                           | C++      |         52 |          0 |          0 |         52 |
| d:\Vscode\.vscode\niuke\2026shujia\6\h.cpp                             | C++      |         48 |          0 |          0 |         48 |
| d:\Vscode\.vscode\niuke\2026shujia\7\a.cpp                             | C++      |         73 |          1 |          0 |         74 |
| d:\Vscode\.vscode\niuke\2026shujia\7\g.cpp                             | C++      |         29 |          1 |          0 |         30 |
| d:\Vscode\.vscode\niuke\2026shujia\7\k.cpp                             | C++      |         56 |          2 |          7 |         65 |
| d:\Vscode\.vscode\niuke\2026shujia\7\l.cpp                             | C++      |         17 |          2 |          1 |         20 |
| d:\Vscode\.vscode\niuke\henan2026\b.cpp                                | C++      |         47 |          2 |          0 |         49 |
| d:\Vscode\.vscode\niuke\henan2026\c.cpp                                | C++      |         22 |          0 |          1 |         23 |
| d:\Vscode\.vscode\niuke\henan2026\d.cpp                                | C++      |         80 |          2 |          0 |         82 |
| d:\Vscode\.vscode\niuke\henan2026\e.cpp                                | C++      |         52 |          0 |          0 |         52 |
| d:\Vscode\.vscode\niuke\henan2026\g.cpp                                | C++      |         68 |          4 |          0 |         72 |
| d:\Vscode\.vscode\niuke\henan2026\j.cpp                                | C++      |         65 |          1 |          1 |         67 |
| d:\Vscode\.vscode\niuke\henan2026\l.cpp                                | C++      |         15 |          1 |          1 |         17 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\a.cpp                       | C++      |        115 |          0 |          5 |        120 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\b.cpp                       | C++      |         47 |          2 |          0 |         49 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\c.cpp                       | C++      |         22 |          0 |          1 |         23 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\d.cpp                       | C++      |         80 |          2 |          0 |         82 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\e.cpp                       | C++      |         52 |          0 |          0 |         52 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\g.cpp                       | C++      |         68 |          4 |          0 |         72 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\j.cpp                       | C++      |         65 |          1 |          1 |         67 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\1\l.cpp                       | C++      |         15 |          1 |          1 |         17 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\a.cpp                       | C++      |        105 |          9 |          3 |        117 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\b.cpp                       | C++      |         25 |          1 |          0 |         26 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\c.cpp                       | C++      |         74 |          5 |          1 |         80 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\d.cpp                       | C++      |         43 |          1 |          2 |         46 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\e.cpp                       | C++      |         15 |          1 |          1 |         17 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\f.cpp                       | C++      |         81 |          0 |          2 |         83 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\f_2.cpp                     | C++      |         61 |          0 |          1 |         62 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\g.cpp                       | C++      |         52 |          2 |          4 |         58 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\h.cpp                       | C++      |         34 |          6 |          0 |         40 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\i.cpp                       | C++      |         30 |          1 |          1 |         32 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\k.cpp                       | C++      |         54 |          0 |          0 |         54 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\l.cpp                       | C++      |         53 |          1 |          0 |         54 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\2\m.cpp                       | C++      |         36 |          1 |          2 |         39 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\a.cpp                       | C++      |         71 |          1 |          1 |         73 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\a_2.cpp                     | C++      |         69 |          1 |          5 |         75 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\b.cpp                       | C++      |         43 |          4 |          1 |         48 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\c.cpp                       | C++      |         55 |          3 |          0 |         58 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\cduipai.cpp                 | C++      |         41 |          0 |          1 |         42 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\d.cpp                       | C++      |         36 |          1 |          1 |         38 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\duipai.cpp                  | C++      |         13 |          0 |          1 |         14 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\gen.cpp                     | C++      |         14 |          0 |          1 |         15 |
| d:\Vscode\.vscode\niuke\henanmengxin2026\3\k.cpp                       | C++      |         15 |          2 |          1 |         18 |
| d:\Vscode\.vscode\niuke\zhousai\143\a.cpp                              | C++      |         17 |          2 |          0 |         19 |
| d:\Vscode\.vscode\niuke\zhousai\143\b.cpp                              | C++      |         29 |          2 |          1 |         32 |
| d:\Vscode\.vscode\niuke\zhousai\143\c.cpp                              | C++      |         63 |          6 |          0 |         69 |
| d:\Vscode\.vscode\niuke\zhousai\143\d.cpp                              | C++      |         65 |         15 |          3 |         83 |
| d:\Vscode\.vscode\niuke\zhousai\143\e.cpp                              | C++      |         54 |          4 |          1 |         59 |
| d:\Vscode\.vscode\niuke\zhousai\143\f.cpp                              | C++      |         20 |          2 |          1 |         23 |
| d:\Vscode\.vscode\niuke\zhousai\153\a.cpp                              | C++      |         19 |          2 |          0 |         21 |
| d:\Vscode\.vscode\niuke\zhousai\153\b.cpp                              | C++      |         18 |          2 |          0 |         20 |
| d:\Vscode\.vscode\niuke\zhousai\153\c.cpp                              | C++      |         29 |          3 |          2 |         34 |
| d:\Vscode\.vscode\niuke\zhousai\153\d.cpp                              | C++      |         46 |          1 |          2 |         49 |
| d:\Vscode\.vscode\niuke\zhousai\153\e.cpp                              | C++      |         67 |          1 |          0 |         68 |
| d:\Vscode\.vscode\niuke\zhousai\153\f.cpp                              | C++      |         46 |          2 |          7 |         55 |
| d:\Vscode\.vscode\qoj\2023shandong\b.cpp                               | C++      |         56 |          7 |          6 |         69 |
| d:\Vscode\.vscode\qoj\2023shandong\e.cpp                               | C++      |         49 |          3 |          1 |         53 |
| d:\Vscode\.vscode\qoj\2023shandong\m.cpp                               | C++      |         91 |         10 |          3 |        104 |
| d:\Vscode\.vscode\qoj\2025shandong\a.cpp                               | C++      |         40 |          0 |          1 |         41 |
| d:\Vscode\.vscode\qoj\2025shandong\d.cpp                               | C++      |         43 |          0 |          1 |         44 |
| d:\Vscode\.vscode\qoj\2025shandong\g.cpp                               | C++      |         29 |          0 |          2 |         31 |
| d:\Vscode\.vscode\qoj\2025shandong\h.cpp                               | C++      |         49 |          0 |          1 |         50 |
| d:\Vscode\.vscode\qoj\2025shandong\l.cpp                               | C++      |         37 |          1 |          0 |         38 |
| d:\Vscode\.vscode\qoj\2025wuhan\I.cpp                                  | C++      |         67 |         28 |          3 |         98 |
| d:\Vscode\.vscode\qoj\2025wuhan\a.cpp                                  | C++      |         46 |          1 |          0 |         47 |
| d:\Vscode\.vscode\qoj\2025wuhan\f.cpp                                  | C++      |         61 |          3 |          1 |         65 |
| d:\Vscode\.vscode\qoj\2025wuhan\f2.cpp                                 | C++      |         74 |          3 |          6 |         83 |
| d:\Vscode\.vscode\qoj\2025wuhan\f3.cpp                                 | C++      |         72 |          0 |          1 |         73 |
| d:\Vscode\.vscode\qoj\2025wuhan\l.cpp                                  | C++      |         31 |          0 |          0 |         31 |
| d:\Vscode\.vscode\qoj\2025wuhan\l2.cpp                                 | C++      |         49 |         28 |          3 |         80 |
| d:\Vscode\.vscode\qoj\2025wuhan\m.cpp                                  | C++      |         73 |          5 |          5 |         83 |
| d:\Vscode\.vscode\qoj\2026shandong\e.cpp                               | C++      |         89 |          0 |          0 |         89 |
| d:\Vscode\.vscode\qoj\2026shandong\l.cpp                               | C++      |         98 |          8 |          2 |        108 |
| d:\Vscode\.vscode\vj\dp\Add, Divide and Floor.cpp                      | C++      |         51 |          0 |          1 |         52 |
| d:\Vscode\.vscode\vj\dp\Ayoub and Lost Array.cpp                       | C++      |         38 |          3 |          0 |         41 |
| d:\Vscode\.vscode\vj\dp\Cut Ribbon.cpp                                 | C++      |         23 |          1 |          0 |         24 |
| d:\Vscode\.vscode\vj\dp\Flowers.cpp                                    | C++      |         36 |          2 |          1 |         39 |
| d:\Vscode\.vscode\vj\dp\k-Tree.cpp                                     | C++      |         34 |          2 |          1 |         37 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Closest Pair.cpp                 | C++      |         81 |          1 |          1 |         83 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Intersecting Lines.cpp           | C++      |         73 |          1 |          1 |         75 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Intersecting Lines_2.cpp         | C++      |         66 |          2 |          2 |         70 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Pick-up sticks.cpp               | C++      |         74 |          1 |          2 |         77 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Segments.cpp                     | C++      |         71 |          1 |          0 |         72 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\TOYS.cpp                         | C++      |         77 |          6 |          4 |         87 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\The Doors.cpp                    | C++      |         56 |          0 |          1 |         57 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Toy Storage.cpp                  | C++      |         82 |          6 |          4 |         92 |
| d:\Vscode\.vscode\vj\jisuanjihe\jichu\Treasure Hunt.cpp                | C++      |         35 |          1 |          1 |         37 |
| d:\Vscode\.vscode\vj\shulun\1300\1.cpp                                 | C++      |         48 |          4 |          0 |         52 |
| d:\Vscode\.vscode\vj\shulun\1300\2.cpp                                 | C++      |         78 |          5 |          0 |         83 |
| d:\Vscode\.vscode\vj\shulun\1300\3.cpp                                 | C++      |         49 |          2 |          0 |         51 |
| d:\Vscode\.vscode\vj\shulun\1300\4.cpp                                 | C++      |         49 |          1 |          0 |         50 |
| d:\Vscode\.vscode\vj\shulun\1700\1.cpp                                 | C++      |         65 |          2 |          0 |         67 |
| d:\Vscode\.vscode\zatest\t1.cpp                                        | C++      |         17 |          0 |          1 |         18 |
| Total                                                                  |          |     15,406 |        850 |        700 |     16,956 |
+------------------------------------------------------------------------+----------+------------+------------+------------+------------+
